KO	Function	Pathway	Enzyme	Modules	Hyperlink
K00104	glcD; glycolate oxidase	map00630(Glyoxylate and dicarboxylate metabolism); map01100(Metabolic pathways); map01110(Biosynthesis of secondary metabolites); map01120(Microbial metabolism in diverse environments); map01130(Biosynthesis of antibiotics)	EC:1.1.3.15		http://rest.kegg.jp/get/K00104
K00105	E1.1.3.21; alpha-glycerophosphate oxidase	map00564(Glycerophospholipid metabolism); map01110(Biosynthesis of secondary metabolites)	EC:1.1.3.21		http://rest.kegg.jp/get/K00105
K00106	XDH; xanthine dehydrogenase/oxidase	map00230(Purine metabolism); map00232(Caffeine metabolism); map00983(Drug metabolism - other enzymes); map01100(Metabolic pathways); map01110(Biosynthesis of secondary metabolites); map01120(Microbial metabolism in diverse environments); map04146(Peroxisome)	EC:1.17.1.4 EC:1.17.3.2	M00546	http://rest.kegg.jp/get/K00106
K00107	ALO; D-arabinono-1,4-lactone oxidase		EC:1.1.3.37		http://rest.kegg.jp/get/K00107
K00108	betA, CHDH; choline dehydrogenase	map00260(Glycine, serine and threonine metabolism); map01100(Metabolic pathways)	EC:1.1.99.1	M00555	http://rest.kegg.jp/get/K00108
K00109	L2HGDH; 2-hydroxyglutarate dehydrogenase	map00650(Butanoate metabolism)	EC:1.1.99.2		http://rest.kegg.jp/get/K00109
K00111	glpA, glpD; glycerol-3-phosphate dehydrogenase	map00564(Glycerophospholipid metabolism); map01110(Biosynthesis of secondary metabolites)	EC:1.1.5.3		http://rest.kegg.jp/get/K00111
K00112	glpB; glycerol-3-phosphate dehydrogenase subunit B	map00564(Glycerophospholipid metabolism); map01110(Biosynthesis of secondary metabolites)	EC:1.1.5.3		http://rest.kegg.jp/get/K00112
K00113	glpC; glycerol-3-phosphate dehydrogenase subunit C	map00564(Glycerophospholipid metabolism); map01110(Biosynthesis of secondary metabolites)	EC:1.1.5.3		http://rest.kegg.jp/get/K00113
K00114	exaA; alcohol dehydrogenase (cytochrome c)	map00010(Glycolysis / Gluconeogenesis); map00625(Chloroalkane and chloroalkene degradation); map01100(Metabolic pathways); map01110(Biosynthesis of secondary metabolites); map01120(Microbial metabolism in diverse environments); map01130(Biosynthesis of antibiotics)	EC:1.1.2.8		http://rest.kegg.jp/get/K00114
